Patología,Medicamentos,Observaciones,Acciones
Meningitis bacteriana aguda - MBA - ENO,"TAC de cráneo con contraste Puncion lumbar ATB EV amplio espectro. ..PENDIENTE.. Reposo absoluto con cabecera en línea media a 30°. Régimen cero. Monitoreo continuo de PA, Sat02, T°, HGT preDAOC. Instalación de SNG hasta evaluación por Fonoaudiología. Oxigenoterapia solo si SatO2 <93%. Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS. Paracetamol 1gr cada 8 horas por SNG solo si T°>37,8°C. HGT preDAOC + IC según esquema al 50% (objetivo HGT 90 a 160mg/dL). MAE - Medias anti-embolicas, según PADUA/IMPORVE. Control de signos vitales cada 6 horas. IC Neurología (cursada al ingreso)","% Bacteria, ENO (notificación obligatoria) PL: Cuadro febril alto, signos meningeos no súbitos (cefalea, rigidez nucal, Kerning, Brudzinsky) y convulsiones.",
Meralgia Parestesica,(*) Electromiografía EMG. Buscar causa y tratar. IC a Kinesiología motora IC a Traumatología Qx: Liberación de atrapamiento.,"Compromiso del nervio femoro cutaneo, que afecta la cara lateral del muslo con parestesia y termoalgesia. Asociado a Obesidad, Diabetes, Hipotiroidismo.",
Mesotelioma,Derivar a cuidados paliativos.,"Pedir: Rx tórax, produce derrame pleural maligno. Enfermedad pulmonar idiopática, asociado a Neumoconiosis: Asbestosis (Trabajador de construcción o material en suspensión). Silicosis: Expuesto a vidrio, loza o sílice.",
Meteorismo - Gases intestinal - Restablece transito intestinal,Trimebutina 100 mg.  1 comp. pre DAC por 10 dias. Simeticona 40 mg. DI: 40-80mg post comidas. NC: Flapex. Flapex E. Simeticona gotas. DI: 30 gotas post comidas. DP: 2 gotas/Edad hasta 12 años. NC: Flapex gotas.,,
Miastenia Gravis,Rx de torax AP/Lat TAC de tórax. Resonancia nuclear magnetica de torax. Qx: en caso de Timoma o tumor mediastinico.,"% Autoinmune, Timoma. Clinica: Paresia fluctuante. Con afectacion de ojos (ptosis, diplopia y estrabismo). Empeora a las repeticiones como flectar brazo o parpadear. (i) Solo afecta a músculos voluntarios, no al SN Autonomo.",
Micosis fungoide - Linfoma T cutaneo o de piel,(*) Qx + Biopsia por Dermatología. PUVA terapia.,"% Linfoma T cutáneo de bajo grado. No es hongo. Clinica con 3 Fases (Macular, Placa y Tumoral) 1- Macular: Maculas crónicas, Múltiples tamaños, eritema hiperpigmentadas en extremidades o torso, responde a corticoide pero no es el tratamiento. 2- Placa: Maculas solevantadas, similar a tiña corporis. 3- Tumoral: Gruesas placas tumorales. Buen pronóstico en fase (1) macular.",
Mielitis Transversa - Sindrome de seccion medular inflamatoria.,"(*) Resonancia nuclear magnética (RNM) de craneo y columna total. (*) Metilprednisolona 1 gr EV al dia por 3 dias. Hospitalizar Oxigenoterapia Soporte ventilación y Oxigeno. Evaluar ventilación mecánica, según nivel. IC a Neurologia, Medicina interna, UPC.","% Autoinmune, asociado a Lupus esclerosos sistémico LES, Sjorgen. Clinica: Compromiso motor y sensitivo medular por inflamacion meningea, desde un nivel hacia caudal. Dolor dorsal o lumbar, Nivel sensitivo (paresia), afecta esfinter, Sd piramidal agudo (1MN), hipotonia, hiporreflexia. Luego Hipertonia e hiperreflexia. - Sobre C4: Riesgo de paralisis frenica. - Sobre T1: Tetraplejia - Tetraparesia de extremidades superior e inferior. - Bajo T1: Paraplejia - Paraparesia de extremidad inferior.",
Miliaria Cristalina,MG: Observar y tranquilizar a madre. Manejo: Evitar sudor.,"% Obstrucción de glándulas sudorípara. Recién nacido asintomático, con múltiples vesículas puntiformes, transparentes o brillantes en cuerpo.",
Millium sebaceo,MG: Observar y tranquilizar a madre.,"% Glándulas sebáceas. Recién nacido asintomático, con múltiples papulas puntiformes y pequeñas, de color amarillo-blanco, en zona nasal.",
Miopatias,IC a Reumatología.,"Clinica: Paresia proximal, con debilidad motora proximal. Sin atrofia. En casos con Hipertrofia musuclar. Puede estar asociada a dolor. % Polimialgia reumatica, polimiositis (Dolor). % Distrofia muscular de Duchenne; genetica en niños con Hipertrofia.",
Miopia,Uso de Lentes Bicóncavos. Qx Lasik,"Ojo ""mas grande-largo"", por lo que la imagen queda Delante de la Retina. Ve mal de lejos.",
Molusco Contagioso,(*) Qx: Curetaje con anestesia local por Dermatologo o Cirujano. QX: Crioterapia con nitrógeno líquido por Dermatologo.,"% Virus Pox. Pápulas solevantadas, brillantes, con o sin umbilicación central, eritematosa. No drena contenido. Zonas: Cara, extremidades, genitales, tronco y abdomen. Frecuente en niños e inmunodeprimidos.",
Mononucleosis,Paracetamol 500 mg. 1 c 8 hrs en caso de dolor. Ibuprofeno 600 mg. 1 c 8 hrs en caso de dolor.,% Virus Epistein Barr Pedir IgM VCA o VEB.,
Mordedura animal - Rabia,Amoxicilina / Acido clavulánico 500/125 mg. DI: 1 comprimido cada 12 horas por 7 dias.  DP: 50 mg/kg/dia. Amoxicilina / Ac. Clavulanico 400/57 mg /5ml jarabe. DP: 50 mg/kg/dia por 7 dias. Vacuna Antirrábica humana IM,"% Virus Rabdovirus, perro, gato, murciélago, zorrillo, otros. (i) Vacuna Antirrábica previa Limpieza abundante de área.  IM deltoides. (día 0.3.7.14), si ya recibió vacuna previa, dar solo 0.3 días. Calculo amoxi/ac.clav en base a amoxicilina.",
Narcolepsia,"Descartar y tratar causa secundaria. Pedir: TSH, T4L, Perfil hematológico, medir IMC. (*) Modafinilo 100-200 mg. DI: 100-200 mg dosis única día, en la mañana. DMx: 400 mg dia. NC: Mentix, Movigil, Alertex, Zalux (RR)","Dg: (1) Hipersomnolencia diurna irresistible. (2) Cataplejia. (3) Paralisis del sueño. (4): Alucinaciones del sueño. (i) En caso de (3-4) Aislado, es normal. (i) (1) puede ser el único síntoma. Cataplejia: Debilidad muscular subita o atonia durante la vigilia ""desmayo"" Alucinaciones hipnagógicas al inicio del sueño, Hipnopómpicas al despertar.",
Nauseas - Vomitos,Domperidona 10 mg comprimidos.   DI: 10 mg cada 8 hrs. Domperidona 10 mg/2ml ampolla. DI: 1 ampolla c 8 hrs IM-EV Ondansetron 8mg/4ml EV     DI: 1 c 12 hrs.  DMx: 32mg/dia  NC: Odanex. Ondansetron 4-8mg VO  DI: 1 comp VO  Dmx: 32mg/dia. NC: Odatron Metoclopramida 10 mg/2ml ampolla.  DI: 2mg/kg cada 2-4 hrs EV Metoclopramida 10 mg. DI: 10 mg cada 8 hrs VO.,,
Nefropatía diabética establecida,(*) Enalapril 10 mg.  DI: 10 mg c 12 hrs.,"(i) VFGE > 60%. Alt Cl.Creatinina. Control metabólico, IRC e HTA, dar IECA. (i) PA < 130/85",
Nefropatía diabética inicial,(*) Enalapril 10 mg.   DI: 5-10 mg c 12 hrs.   (i) PA < 130/85,(i) dar IECA. (i) PA < 130/85 RAC > 30  mg-g/dl MicroAlb > 30 mg/24 hrs PERSISTENTE por 3 meses. Objetivo de tto es que no tenga Proteinuria.,
Neumonia > 65 años o con patologias cronicas - NAC adultos - Adquirida en la comunidad,"(*) Amoxicilina/Acido clavulanico 875/125 mg.  DI: 1 comp c 12 hrs por 7 días. (ac) Azitromicina 500 mg. DI: 1 comp al dia, por 5 dias. Claritromicina 500mg. DI: 500mg c 12 hrs por 7 dias. Eritromicina 500mg. DI: 500 mg c 6 hrs por 7 dias. + Paracetamol o AINEs. + Salbutamol 2 puff c/6h por AEC + Rx Tórax AP/Lat + Reposo con licencia médica por 7 días, hidratación abundante. + Control en 48-72 hrs, para evaluar clínica y Rx.","% Neumococo (Streptococcus Pneumoniae), Haemophilus Influenzae (HiB) Dg: Clínico + Rx Tórax AP/Lat ATS 2: > 65 años y/o con patología crónica: Manejo Ambulatorio, vía oral. (i) En Alergia a PNC dar Macrolidos.",
"Neumonia < 65 años, sin patologias cronicas - NAC adultos - Adquirida en la comunidad","(*) Amoxicilina 500 mg.  DI: 1 gramo (2 compr) cada 8 horas por 7 días. (ac) Azitromicina 500 mg. DI: 500mg al dia por 5 días. Claritromicina 500 mg. DI: 500mg c 12 hrs por 7 días. Eritromicina 500 mg. DI: 500 mg c 6 hrs por 7 días. + Paracetamol o AINEs. + Salbutamol 2 puff c/6h por AEC + Rx Tórax AP/Lat + Reposo con licencia médica por 7 días, hidratación abundante. + Control en 48-72 hrs, para evaluar clínica y Rx.","% Neumococo (Streptococcus Pneumoniae). Dg: Clínico + Rx Tórax AP/Lat ATS 1: < 65 años y sin patología crónica: Manejo Ambulatorio, vía oral. (i) En Alergia a PNC dar Macrolidos.",
Neumonia Adultos con Shock o VMI  - NAC Muy grave - Adquirida en la comunidad.,"(*) Ceftriaxona 2 gr dia EV + Azitromicina 500 mg EV o Levofloxacino 1 gr EV, por 10-14 días. Cefepime 2 gr EV + Imipenem 500 mg EV por 10-14 dias. + Hospitalizar en UCI: evaluar VM. + Monitoreo continuo: PA, ECG y SatO2. + Régimen cero. + Rx Tórax portátil + Parámetros inflamatorios. Cultivo de Expectoración. + Solución fisiológica EV 0.9% 1.500 cc, para PVC > 8 mmHg. + Noradrenalina BIC para PAM > 65 mmHg. + Oxigenoterapia para SatO2 > 93% + Paracetamol EV o AINEs EV + Salbutamol 0.5%: 1cc SBT + 3 cc SF 0.9%, por 20 minutos cada 6 hrs NBZ. + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","% Neumococo- Haemophilus Influenzae tipo B, Mycoplasma Pneumoniae. ATS 4 - CURB65 (4-5 pts): Necesidad de Ventilación mecánica y/o DVA (Shock séptico): Hospitalizar en UCI con vía EV. C: Conciencia. U: Uremia o IRA. R: > 30 rpm. B: < 90/60. +65 años. (i) Parámetros inflamatorios: Procalcitonina, PCR, Lactato, Hemograma.",
Neumonia adultos Grave - NAC - Adquirida en la comunidad.,"(*) Ceftriaxona 1 gr EV.  DI: 1-2 gr al día EV por 7-10 días. Cefotaxima 1 gr EV.   DI: 1 gr cada 8 hrs EV por 7-10 días. Amoxicilina /Ac. Clavulánico 1 gr/200 mg.  DI: 1 ampolla c/ 8 hrs EV por 7-10 días. (ac) Levofloxacino 500 mg-1gr EV.  DI: 500 mg/ día EV Moxifloxacino 400 mg EV.  DI: 400 mg/ día EV + Hospitalizar segun CURB- 65: Sala o UCI. + Reposo relativo, Régimen papilla, liviano. + Oxigenoterapia Solo si SatO2 < 93% + Cultivo de Expectoración, ajustar ATB segun resultado. + Paracetamol o AINEs EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","ATS 3: Hospitalizar, vía EV, en sala (3pts) o UCI (4-5pts) segun: CURB-65. C: Conciencia. U: Uremia o IRA. R: > 30 rpm. B: < 90/60.  +65 años. (i) En alergia a Cefalosporina dar Quinolonas. Parámetros inflamatorios: Perfil hematológico, PCR, Procalcitonina.",
Neumonia Aspirativa - NAC,"(*) Metronidazol 500 mg/100 cc IM-EV + Ceftriaxona 1 gr EV o Cefazolina 1 gr EV por 7-10 dias. Clindamicina 600 mg/4ml IM-EV + Ceftriaxona 1 gr EV o Cefazolina 1 gr EV por 7-10 dias. + Hospitalizar segun CURB- 65: Sala o UCI. + Reposo relativo, Régimen cero, hasta evaluacion por Fonoaudiología. + Oxigenoterapia Solo si SatO2 < 93% + Rx Tórax portátil + Parámetros inflamatorios + Cultivo de Expectoración-Hemo. + Paracetamol o AINEs EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","% Anaerobios, Neumonitis Química por aspiración. (i) Al tratamiento de NAC se debe agregar Metronidazol o Clindamicina. (segun gravedad). Antecedente: ACV, Postrados, Trastorno deglución, Alcoholismo.",
Neumonia Atipica - NAC atípica.,"(*) Azitromicina 500 mg. DI: 1 comp al dia, por 5 dias. Claritromicina 500mg. DI: 500mg c 12 hrs por 7 dias. Eritromicina 500mg. DI: 500 mg c 6 hrs por 7 dias. Levofloxacino 500mg-1gr EV DI: 500mg/dia EV   (en caso de Hospitalizar) Moxifloxacino 400mg EV DI: 400mg/dia EV.  (en caso de Hospitalizar) + Paracetamol o AINEs. + Rx Tórax AP/Lat + Reposo con licencia médica por 5 días, hidratación abundante. + Control en 48-72 hrs, para evaluar clínica y Rx.","% Mycoplasma Pneumoniae. Chlamydia, Legionella. Clínica subaguda similar a virus, con tos que progresa a obstrucción. Rx Tórax: Patrón alveolointersticial bilateral, mayor en bases. (i) Manejo segun clínica y antecedentes: Hospitalizar en sala (3pts) o UCI (4-5pts) segun: CURB-65. C: Conciencia. U: Uremia o IRA. R: > 30 rpm. B: < 90/60. +65 años.",
Neumonia en > 4 años - NAC pediatria,(*) Amoxicilina 250-500mg/5ml.  DP: 80 mg/kg/dia cada 8 horas por 7 dias. Azitromicina 200mg/5ml jarabe.  DP: 10mg/kg/dosis 1 vez al dia por 5 dias VO. Salbutamol puff.  Uso: 2 puff c 6 horas por 7 dias. (i) con Aerocamara (AEC) SF Intranasal.  Uso 2 puff cada fosa nasal para Aseo nasal 4 veces al dia. NC: Fisiolimp,(i) Mayores de 5 años (bacteria),
Neumonia en < 3 años  - NAC pediatria,"(*) Paracetamol 120-160 mg/5ml. DP: 15-20 mg/kg/dosis c 8 hrs. NC: Kitadol infantil. Panadol. Paracetamol 125 mg Sup. Infantil     DP: 1 cada 8 hrs. Paracetamol gotas.  DP: 3-5 gotas por kg, cada 8 hrs.   NC: Kitadol gotas, Panadol gotas. Ibuprofeno 200mg/5ml jarabe.  DP: 10 mg/kg/dosis c 8 hrs. Salbutamol puff.  Uso: 2 puff c 6 horas por 7 dias. (i) con Aerocamara (AEC) SF Intranasal.  Uso 2 puff cada fosa nasal para Aseo nasal 4 veces al dia. NC: Fisiolimp.",(i) < 3 meses HOSPITALIZAR. En < 3 años % VRS.,
Neumonia en Inmunodeprimidos - NAC VIH,"(*) Cotrimoxazol 480 mg EV + Ceftriaxona 1 gr EV + Levofloxacino 500 gr EV. Dapsona 100 mg + Pirimetamina 25 mg + Hospitalizar segun CURB- 65: Sala o UCI. + Reposo relativo, Régimen papilla, liviano. + Oxigenoterapia Solo si SatO2 < 93%, por mascarilla. + Rx Tórax portátil + Parámetros inflamatorios + Cultivo de Expectoración-Hemo + PCR Jiroveci + Hidrocortisona 100 mg EV, si PaO2 < 70 o Desaturación. + Paracetamol o AINEs EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","% Pneumocystis Jiroveci (hongo) (i) PCR de Pneumocystis Jiroveci y Cultivos: Ajustar terapia por Cultivos. Hospitalizar, vía EV, en sala (3pts) o UCI (4-5pts) segun: CURB-65. C: Conciencia. U: Uremia o IRA. R: > 30 rpm. B: < 90/60. +65 años. Parámetros inflamatorios: Procalcitonina, Lactato, Hemograma, PCR, LDH. (i) Cotrimoxazol (Trimetoprim 80 mg - Sulfametoxazol 400 mg) en 5 ml. Alergia a Sulfas, dar Dapsona + Pirimetamina.",
Neumonia Intrahospitalaria (NIH),"(*) Cefepime 2 gr EV + Imipenem 500 mg EV o Meropenem 1 gr EV por 10- 14 dias. Ceftriaxona 2 gr EV + Imipenem 500 mg EV o Meropenem 1 gr EV por 10 -14 dias. + Hospitalizar segun CURB- 65: Sala o UCI. + Reposo relativo, Régimen papilla, liviano. + Oxigenoterapia Solo si SatO2 < 93% + Rx Tórax portátil + Parámetros inflamatorios + Cultivo de Expectoración-Hemo. + Paracetamol o AINEs EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","% Pseudomona, BLEE +, Acinetobacter (Resistentes). (i) NIH: 2 dias post ingreso o 7 dias post alta hospital. Hospitalizar, vía EV, en sala (3pts) o UCI (4-5pts) segun: CURB-65. C: Conciencia. U: Uremia o IRA. R: > 30 rpm. B: < 90/60. +65 años. Ajustar terapia por Cultivos.",
Neumonia post Influenza - NAC grave,"(*) Cloxacilina 500 mg IM-EV. DI: 500mg- 1gr c 8 hrs por 7 dias. Cefazolina 1 gr EV  DI: 500 mg-1gr c 12 hrs. DMx: 6 gr día. DP: 50 mg/kg/dosis cada 8 hrs EV. Vancomicina 500 mg EV. DI: 15-30 mg/k/día c 12 hrs. (ac) + ATB EV: Ceftriaxona/Azitromicina o Levofloxacino: segun corresponda. + Hospitalizar segun CURB- 65: Sala o UCI. + Reposo relativo, Régimen papilla, liviano. + Oxigenoterapia Solo si SatO2 < 93% + Rx Tórax portátil + Parámetros inflamatorios + Cultivo de Expectoración-Hemo. + Paracetamol o AINEs EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","% Staf Aureus. Al tto de base NAC, se agrega: Cloxacilina o Cefazolina EV. Rx Tórax: absceso bilateral. (i) Antecedente de Influenza hace 1 - 2 semanas.",
Neumonitis por Varicela - NAC por varicela,"(*) Aciclovir 250 mg EV + Hospitalizar segun CURB- 65. + Reposo relativo, Régimen papilla, liviano. + Oxigenoterapia Solo si SatO2 < 93% + Rx Tórax portátil + Parámetros inflamatorios. + Paracetamol EV-VO + Salbutamol 2 puff c/6h por AEC + Tromboprofilaxis segun protocolo: PADUA/IMPROVE. + Control signos vitales c/ 6 hrs. + Kinesioterapia respiratoria. + Control de parámetros inflamatorios en 48h.","% Virus Varicela Zoster (VVZ) Complicación, frecuente en adultos. Evitar usar AINEs, (i) Contraindicado usar Aspirina: AAS - Sd Reye: encefalitis + hepatitis grave.",
Neumotorax a Tension (> 50%),"(*) Puncionar 2º EIC - LMC de Urgencia. Qx: Toracostomía con trampa de agua, una vez HDM estable. Qx: Pleurodesis si es 2do episodio o Recurrente. + Hospitalizar en UCI + Reposo absoluto, Régimen Cero + Evaluar TOT- VMI. + SF 0,9% EV 1500 cc en bolo EV + Oxígeno por mascarilla para SatO2 > 93%. + AINEs EV (altas dosis).","Dg: Clínico. Shock cardiogénico: Hipotensión, Yugular ingurgitada, Asimetría torácica, Tráquea desviada (Contralateral). Puncionar con aguja gruesa o catéter, en el borde inferior del 2º EIC - LMA.",
Neumotorax Abierto,"(*) Sellar con parche de 3 lados o unidireccional. Manejo Neumotorax segun Clinica: Toracostomia o Puncion 2 EIC + Rx tórax para evaluar %, en caso de estar HDM estable. + Reposo absoluto, Régimen Cero + Evaluar TOT- VMI. + Vias venosas permeables. + Oxígeno para Sat > 93% mascarilla. + Lavado de Herida. + Estabilizar objeto, no remover. + Derivar a Cirugia para manejo en Pabellon.","Lavar sitio de herida, no remover objetos. Derivar a Cirugia, para manejo en pabellon.",
Neumotorax leve (< 15%),"Hospitalizar en Urgencia, con monitor continuo de ECG, Sat O2, PA. (*) AINEs EV - VO. Rx Tórax de control cada 4- 6 horas. Observar; Sólo si se mantiene o disminuye % del Neumotórax. Qx: Toracostomía con trampa de agua: Solo si aumenta % del Neumotórax. Qx: Pleurodesis, si es 2do episodio o Recurrente.","Dg: Rx de Tórax AP - Lat, en espiración Máxima. (i) Tubo pleural en 4 EIC, Línea Media Axilar. Pleurodesis en 2do tiempo una vez estable.",
Neumotorax Moderado (> 15- 49%),"(*) Qx: Toracostomía con trampa de agua. Qx: Pleurodesis, si es 2do episodio o Recurrente. + Hospitalizar en Cirugia - Intermedio - UTI + Reposo absoluto + Régimen Cero. + Monitor continuo de ECG, Sat O2, PA. + AINEs o Paracetamol EV- VO + Oxígeno naricera para Sat > 93% + Control con Rx Tórax portátil cada 4-6 hrs.","Dg: Rx de Tórax AP - Lat, en espiración Máxima o Portátil. (i) Descartar causa secundarias: EPOC, Cuerpo extraño bronquial, etc. Tubo pleural en 4º EIC - LMA.",
Neuralgia de Occipital o de Harnold,"TAC de craneo sin contraste. RNM de craneo. (*) Carbamazepina 200 mg. DI: 200 mg cada 12 hrs VO. DMx: 600 mg c 12 hrs. Imipramina 25 mg. DI: 25 mg día. DMx:150 mg día. (i) ADTC. Amitriptilina 25mg. DI: 25 mg día. DMx: 75 mg/día. (i) ADTC. (ac) Pregabalina 75 mg DI: 75 mg c 12 hrs. DMx: 300-600mg/día post 1-2 sem. NC: Pregalex, Alivax, Prestat, Lyrica, Neurum. Gabapentina 300 mg. DI: 300 mg dia. DMx: 3600mg c 8 hrs. NC: Gabex. Venlafaxina 75 mg. DI: 75 mg al dia. NC: Venlax, EctienXR (IRSS) IC a Neurología.","% Nervio occipital mayor y menor. Contractura cervical cronica con isquemia neural. Dolor electrico en ramalazo en region retroauricular, temporal y cervical posterior. Mas frecuente en mujeres, con Artritis reumatoide. Dolor se reproduce al peinarse, tocar cuero cabelludo o cuello.",
